Player,Team,IP,K,ERA,WHIP
Anthony Swarzak,ATL,39.2,35,4.31,1.44
Heath Hembree,BOS,39.2,46,3.86,1.31
Edwin Jackson,DET,39.1,33,8.47,1.91
Wilmer Font,TOR,39.1,53,3.66,1.14
Patrick Sandoval,LAA,39.1,42,5.03,1.37
Justin Wilson,NYM,39,44,2.54,1.33
Jeremy Hellickson,WAS,39,30,6.23,1.72
Edgar Garcia,PHI,39,45,5.77,1.64
Jeff Brigham,MIA,38.1,39,4.46,1.3
Chris Martin,TEX,38,43,3.08,1.03
Shane Greene,DET,38,43,1.18,0.87
David Hale,NYY,37.2,23,3.11,1.22
Sergio Romo,MIA,37.2,33,3.58,1.22
Jameson Taillon,PIT,37.1,30,4.1,1.13
Zack Littell,MIN,37,32,2.68,1.16
Jon Duplantier,ARI,36.2,34,4.42,1.55
Ryan Helsley,STL,36.2,32,2.95,1.25
Zac Gallen,MIA,36.1,43,2.72,1.18
Blake Parker,MIN,36.1,34,4.21,1.38
Justus Sheffield,SEA,36,37,5.5,1.72
Jesus Tinoco,COL,36,28,4.75,1.61
Tom Eshelman,BAL,36,22,6.5,1.61
Alec Mills,CHC,36,42,2.75,1.17
Jimmy Cordero,CWS,36,31,2.75,0.97
Alex Wood,CIN,35.2,30,5.8,1.4
Corey Kluber,CLE,35.2,38,5.8,1.65
Greg Holland,ARI,35.2,41,4.54,1.37
Tyson Ross,DET,35.1,25,6.11,1.67
Jose Cisnero,DET,35.1,40,4.33,1.53
Geoff Hartlieb,PIT,35,38,9,2
Dustin May,LAD,34.2,32,3.63,1.1
Nick Kingham,PIT,34.2,32,9.87,2.05
Carlos Rodon,CWS,34.2,46,5.19,1.44
Robert Dugger,MIA,34.1,25,5.77,1.46
Wandy Peralta,CIN,34,27,6.09,1.5
Yency Almonte,COL,34,29,5.56,1.56
Elvis Luciano,TOR,33.2,27,5.35,1.78
Rowan Wick,CHC,33.1,35,2.43,1.14
Tim Melville,COL,33.1,24,4.86,1.44
Fernando Rodney,WAS,33.1,35,4.05,1.35
Andrew Suarez,SF,32.2,25,5.79,1.62
J.B. Wendelken,OAK,32.2,34,3.58,0.92
Jerry Blevins,ATL,32.1,37,3.9,1.27
Jeffrey Springs,TEX,32.1,32,6.4,1.89
Jacob Webb,ATL,32.1,28,1.39,1.11
Matt Bowman,CIN,32,25,3.66,1.25
Luis Avilan,NYM,32,30,5.06,1.47
Sean Reid-Foley,TOR,31.2,28,4.26,1.71
Jonathan Loaisiga,NYY,31.2,37,4.55,1.48
Jake Newberry,KC,31,29,3.77,1.45
Austin Adams,SEA,31,51,3.77,1.1
Josh A. Smith,BOS,31,29,5.81,1.42
Wilmer Font,NYM,31,24,4.94,1.35
Tyler Olson,CLE,30.2,28,4.4,1.63
Nick Vincent,SF,30.2,30,5.58,1.43
Jay Jackson,MIL,30.1,47,4.45,1.32
Stefan Crichton,ARI,30.1,33,3.56,1.02
Darwinzon Hernandez,BOS,30.1,57,4.45,1.75
Jose Alvarado,TB,30,39,4.8,1.87
Michel Baez,SD,29.2,28,3.03,1.31
Jose Quijada,MIA,29.2,44,5.76,1.79
Dan Otero,CLE,29.2,16,4.85,1.52
Adam Morgan,PHI,29.2,29,3.94,1.01
Sean Manaea,OAK,29.2,30,1.21,0.78
Keone Kela,PIT,29.2,33,2.12,1.01
A.J. Minter,ATL,29.1,35,7.06,2.01
Brian Flynn,KC,29.1,22,5.22,1.88
Chris Stratton,LAA,29.1,22,8.59,2.08
Rafael Montero,TEX,29,34,2.48,0.97
Matt Wisler,SD,29,34,5.28,1.52
Chad Sobotka,ATL,29,38,6.21,1.62
Daniel Stumpf,DET,29,28,4.34,1.72
Hunter Wood,TB,29,24,2.48,1.14
Jordan Hicks,STL,28.2,31,3.14,0.94
Matt Shoemaker,TOR,28.2,24,1.57,0.87
Adam Warren,SD,28.2,25,5.34,1.4
Edwin Jackson,TOR,28.1,19,11.12,2.19
Matt Magill,MIN,28.1,36,4.45,1.59
Randy Dobnak,MIN,28.1,23,1.59,1.13
Evan Phillips,BAL,28,40,6.43,1.86
Zac Reininger,DET,28,17,8.68,2.14
Mike Morin,PHI,28,15,5.79,1.21
Sam Coonrod,SF,27.2,20,3.58,1.23
Lewis Thorpe,MIN,27.2,31,6.18,1.73
Hector Noesi,MIA,27.2,24,8.46,1.59
Juan Minaya,CWS,27.2,27,3.9,1.55
Carson Fulmer,CWS,27.1,25,6.26,1.68
Wei-Chung Wang,OAK,27,16,3.33,1.22
Casey Sadler,LAD,27,20,2.33,1.22
Mike Montgomery,CHC,27,18,5.67,1.78
Brad Boxberger,KC,26.2,27,5.4,1.58
Brock Burke,TEX,26.2,14,7.43,1.54
Alex McRae,PIT,26.2,19,8.78,1.95
Jake Jewell,LAA,26.1,23,6.84,1.37
Tanner Scott,BAL,26.1,37,4.78,1.78
Drew Pomeranz,MIL,26.1,45,2.39,0.91
Taylor Guerrieri,TEX,26.1,27,5.81,1.82
A.J. Cole,CLE,26,30,3.81,1.5
Gerardo Reyes,SD,26,38,7.62,1.35
Kyle Barraclough,WAS,25.2,30,6.66,1.75
Hector Santiago,CWS,25.2,34,6.66,1.91
Kohl Stewart,MIN,25.1,10,6.39,1.46
Logan Allen,SD,25.1,14,6.75,1.82
Chance Adams,NYY,25.1,23,8.53,1.97
D.J. Johnson,COL,25,24,5.04,1.68
Cody Stashak,MIN,25,25,3.24,1.2
Blake Parker,PHI,25,31,5.04,1
Daniel Hudson,WAS,25,23,1.44,0.88
Joe Smith,HOU,25,22,1.8,0.96
Shane Greene,ATL,24.2,21,4.01,1.22
Stephen Tarpley,NYY,24.2,34,6.93,1.99
Seranthony Dominguez,PHI,24.2,29,4.01,1.46
Brad Wieck,SD,24.2,31,6.57,1.42
Phil Maton,SD,24.1,20,7.77,1.64
Kevin Ginkel,ARI,24.1,28,1.48,0.99
Jandel Gustave,SF,24.1,14,2.96,1.11
Drew Gagnon,NYM,23.2,17,8.37,1.73
Marco Estrada,OAK,23.2,11,6.85,1.31
Connor Sadzeck,SEA,23.2,27,2.66,1.39
Travis Lakins,BOS,23.1,18,3.86,1.41
Matt Hall,DET,23.1,27,7.71,1.84
Trevor Richards,TB,23.1,24,1.93,1.2
Emmanuel Clase,TEX,23.1,21,2.31,1.11
Zach Duke,CIN,23.1,18,5.01,1.67
Jared Hughes,PHI,23,20,3.91,1.04
Sam Tuivailala,SEA,23,27,2.35,1.04
Cody Allen,LAA,23,29,6.26,1.91
Andres Munoz,SD,23,30,3.91,1.17
T.J. Zeuch,TOR,22.2,20,4.76,1.46
Walker Lockett,NYM,22.2,16,8.34,1.72
Mike Morin,MIN,22.2,11,3.18,0.97
Sergio Romo,MIN,22.2,27,3.18,0.93
Kevin Gausman,CIN,22.1,29,4.03,1.16
Matt Wisler,SEA,22.1,29,6.04,1.25
Matt Magill,SEA,22.1,28,3.63,1.16
Heath Fillmyer,KC,22.1,15,8.06,1.79
Tanner Anderson,OAK,22.1,18,6.04,1.66
Kyle Dowdy,TEX,22.1,17,7.25,1.97
Matt Festa,SEA,22.1,21,5.64,1.43
Pedro Payano,TEX,22,17,5.73,1.86
Tyler Bashlor,NYM,22,20,6.95,1.73
Jimmy Nelson,MIL,22,26,6.95,1.91
Jason Adam,TOR,21.2,18,2.91,1.15
Ryan Tepera,TOR,21.2,14,4.98,1.29
Dan Winkler,ATL,21.2,22,4.98,1.34
Brock Stewart,TOR,21.2,16,8.31,1.57
